BNC Code,Course Name,Semester,Room,Description,Credit,Prerequisite
ART304.1,Two-Dimensional Design,Fall,RAC110,"Materials fee: $50.
What exactly makes something “good design”? Ever wonder how this concept fits into the art world? This introductory course takes you on a journey of discovering a variety of media to push the envelope of how design is composed effectively. Projects can include using printmaking, pen and ink, collage, mixed media, fiber art, and even drawing to help you gain a wider understanding of the elements and principles of design. Where you see design in the world isn’t always what you think: You will learn about two-dimensional design from a contemporary, cultural, and historical lens, as well as learn more about genres like illustration and graphic art. You will be encouraged to develop your own style and use critical awareness as a base for visual expression",Half-credit.,Prerequisite: None.
ART305.1,Illustration/Visual Storytelling,Fall,RAC111,"Materials fee: $65
In this course, similar to Drawing and Composition I, you will be introduced to rudimentary skill-building drawing exercises. Additionally, the class will explore trends in illustration and design found in contemporary graphic novels and children’s books to inspire visual narratives focusing attention on diversity, equity, and inclusion. Unique to this art class is the opportunity to combine creative writing with visual art-making as you develop your unique perspectives and visual voice. Art media will include graphite, charcoal, watercolor, gouache, acrylic, ink, collage, and assemblage.",Half-credit.,Prerequisite: None.
ART306.1,Ceramics I,Fall,RAC108,"Materials fee: $70.
This course examines the use of clay as an artistic medium through projects that employ both hand-building and wheel-throwing techniques. These include pinching and coiling, as well as wheel-throwing cylinders, bowls, plates, and mugs. You can choose to make ceramic sculpture and/or functional work while learning construction techniques, glazing, and surface decoration skills. An independent final project will serve as an assessment of your skills, and you will be well-prepared to develop your own work in upper-level classes. Historical, contemporary, and cultural perspectives on ceramics will also be explored, and the development of a personal style is encouraged.",Half-credit.,Prerequisite: None.
ART306.2,Ceramics I,Fall,RAC108,"Materials fee: $70.
This course examines the use of clay as an artistic medium through projects that employ both hand-building and wheel-throwing techniques. These include pinching and coiling, as well as wheel-throwing cylinders, bowls, plates, and mugs. You can choose to make ceramic sculpture and/or functional work while learning construction techniques, glazing, and surface decoration skills. An independent final project will serve as an assessment of your skills, and you will be well-prepared to develop your own work in upper-level classes. Historical, contemporary, and cultural perspectives on ceramics will also be explored, and the development of a personal style is encouraged.",Half-credit.,Prerequisite: None.
ART306.3,Ceramics I,Spring,RAC108,"Materials fee: $70.
This course examines the use of clay as an artistic medium through projects that employ both hand-building and wheel-throwing techniques. These include pinching and coiling, as well as wheel-throwing cylinders, bowls, plates, and mugs. You can choose to make ceramic sculpture and/or functional work while learning construction techniques, glazing, and surface decoration skills. An independent final project will serve as an assessment of your skills, and you will be well-prepared to develop your own work in upper-level classes. Historical, contemporary, and cultural perspectives on ceramics will also be explored, and the development of a personal style is encouraged.",Half-credit.,Prerequisite: None.
ART306.4,Ceramics I,Spring,RAC108,"Materials fee: $70.
This course examines the use of clay as an artistic medium through projects that employ both hand-building and wheel-throwing techniques. These include pinching and coiling, as well as wheel-throwing cylinders, bowls, plates, and mugs. You can choose to make ceramic sculpture and/or functional work while learning construction techniques, glazing, and surface decoration skills. An independent final project will serve as an assessment of your skills, and you will be well-prepared to develop your own work in upper-level classes. Historical, contemporary, and cultural perspectives on ceramics will also be explored, and the development of a personal style is encouraged.",Half-credit.,Prerequisite: None.
ART306.5,Ceramics I,Spring,RAC108,"Materials fee: $70.
This course examines the use of clay as an artistic medium through projects that employ both hand-building and wheel-throwing techniques. These include pinching and coiling, as well as wheel-throwing cylinders, bowls, plates, and mugs. You can choose to make ceramic sculpture and/or functional work while learning construction techniques, glazing, and surface decoration skills. An independent final project will serve as an assessment of your skills, and you will be well-prepared to develop your own work in upper-level classes. Historical, contemporary, and cultural perspectives on ceramics will also be explored, and the development of a personal style is encouraged.",Half-credit.,Prerequisite: None.
ART308.1,Graphic Design,Fall,RAC113,"Have you ever wondered what graphic designers do? This studio course studies digital media and graphic design as visual art. You will learn the basics of Adobe Illustrator and how to build compositions using text layouts and other vector-based images. You will even use your talents to make promotional materials for school events and see your work around campus. Visual thinking and creative problem-solving are emphasized as you build on a foundation of artistic vocabulary and technical skills. You will learn the basics of color theory and how digital media is used in today’s world, specifically through advertising, marketing, logo design, and typography.",Half-credit.,Prerequisite: None.
ART308.2,Graphic Design,Spring,RAC113,"Have you ever wondered what graphic designers do? This studio course studies digital media and graphic design as visual art. You will learn the basics of Adobe Illustrator and how to build compositions using text layouts and other vector-based images. You will even use your talents to make promotional materials for school events and see your work around campus. Visual thinking and creative problem-solving are emphasized as you build on a foundation of artistic vocabulary and technical skills. You will learn the basics of color theory and how digital media is used in today’s world, specifically through advertising, marketing, logo design, and typography.",Half-credit.,Prerequisite: None.
ART310.1,Darkroom Photography I,Fall,RAC112,"Materials fee: $120.
Do you want the pictures you take to look great? This course will help you do that, whether you use an SLR camera with manual settings or your phone. As you learn the basics of darkroom photography, you’ll finally understand some of those esoteric terms you’ve heard, like f-stop and shutter speed. After this course, you will have all the tools you need to imaginatively and creatively make compelling images. You will discuss individual images and learn how to interpret and describe them using the vocabulary of art to apply principles of design. The course covers photographic methods, materials, and equipment, strongly emphasizing technical and procedural proficiency in the darkroom.",Half-credit.,Prerequisite: Students must supply their own 35mm camera with manual-exposure capability. (The school has a limited number of cameras available to rent if a student does not own one. Rental fee is $50 a semester for maintenance of the equipment.)
ART310.2,Darkroom Photography I,Spring,RAC112,"Materials fee: $120.
Do you want the pictures you take to look great? This course will help you do that, whether you use an SLR camera with manual settings or your phone. As you learn the basics of darkroom photography, you’ll finally understand some of those esoteric terms you’ve heard, like f-stop and shutter speed. After this course, you will have all the tools you need to imaginatively and creatively make compelling images. You will discuss individual images and learn how to interpret and describe them using the vocabulary of art to apply principles of design. The course covers photographic methods, materials, and equipment, strongly emphasizing technical and procedural proficiency in the darkroom.",Half-credit.,Prerequisite: Students must supply their own 35mm camera with manual-exposure capability. (The school has a limited number of cameras available to rent if a student does not own one. Rental fee is $50 a semester for maintenance of the equipment.)
ART315.1,Digital Photography I,Fall,RAC113,,,
ART315.2,Digital Photography I,Spring,RAC113,,,
ART315.3,Digital Photography I,Spring,RAC113,,,
ART317.1,Sculptural Forms I,Spring,RAC108,"Materials fee: $100.
This course will give you an introduction to basic skills and concepts in three-dimensional art through a number of hands-on projects.You will explore a variety of materials and processes. Possible projects include wire sculpture, stone carving, clay modeling, life-size plaster casting, mold-making, and the creative altering of old books. Discussions and research related to sculptural theory and art historical context will provide a richer understanding of past and present shifts in the art world. A working literacy of the elements and principles of design vocabulary as it relates to three-dimensional art will help you to further develop your capacity for critical thinking and dialogue. This course will prepare you for independent work exploring your own interests in three-dimensional art.",Half-credit.,Prerequisite: None.
ART319.1,Intensive Studio,Spring,RAC111,Materials fee: $75.,"In Intensive Studio, you will investigate many forms of visual expression, approaches, and art media. If you are a student with a keen interest in the visual arts, you will especially enjoy this full-credit class. You will be given instruction in drawing, design, painting, collage, assemblage, and mixed media. Creativity and risk-taking are encouraged. This course will provide technical instruction, arts vocabulary, and exposure to a wide variety of traditional and contemporary trends in areas of drawing, painting, and design to inform and inspire your own artwork.",Prerequisites: None.
ART321.1,Video as Visual Art II,Fall,RAC113,"As a Video II student, you will be presented with more advanced challenges, both technically and conceptually. You will meet with the Video I class but will focus on developing works based on your own needs, abilities, and individual interests. You will be expected to design and execute your projects independently, with guidance from the instructor.",Half credit.,Prerequisite: ART 301 or permission of instructor.
ART324.1,Darkroom Photography II,Fall,RAC112,"Materials fee: $120.
As a Photography II student, you will be presented with more advanced challenges, both technically and conceptually. You will meet with the Photography I class but focus on developing works based on your own needs, abilities, and individual interests. You will be expected to design and execute your projects independently, with guidance from the instructor.",Half-credit.,Prerequisite: ART 310 or permission of instructor. Students must supply their own 35mm camera with manual-exposure capability. (The school has a limited number of cameras available to rent if a student does not own one. Rental fee is $50 a semester for maintenance of the equipment.)
ART324.2,Darkroom Photography II,Spring,RAC112,"Materials fee: $120.
As a Photography II student, you will be presented with more advanced challenges, both technically and conceptually. You will meet with the Photography I class but focus on developing works based on your own needs, abilities, and individual interests. You will be expected to design and execute your projects independently, with guidance from the instructor.",Half-credit.,Prerequisite: ART 310 or permission of instructor. Students must supply their own 35mm camera with manual-exposure capability. (The school has a limited number of cameras available to rent if a student does not own one. Rental fee is $50 a semester for maintenance of the equipment.)
ART325.1,Digital Photography II,Fall,RAC113,"Materials fee: $70.
As a Digital Photography II student, you will be presented with more advanced challenges, both technically and conceptually. You will meet with the Digital Photography I class but will focus on developing works based on your own needs, abilities, and individual interests. You will be expected to design and execute your projects independently, with guidance from the instructor.",Half-credit.,Prerequisite: ART 315 or permission of instructor. Students must supply their own digital single-lens reflex camera (DSLR). (The school has a limited number of cameras available to those students who cannot provide one. Rental fee is $50 a semester for maintenance of the equipment.)
ART326.1,Ceramics II,Fall,RAC108,"Materials fee: $70.
As a Ceramics II student, you will design and execute your projects independently, with guidance from the instructor. You will use your existing skills in working with clay to develop your own artwork. If your projects lend themselves to advanced techniques in hand-building or wheel-throwing, these will be taught. You will use a sketchbook to develop ideas, problem-solve, collect sources and inspiration, reflect, and explore other artists’ work that relates to your interests.",Half-credit.,Prerequisite: ART 306 or permission of instructor.
ART522.1,Advanced Drawing and Painting Portfolio,Fall,RAC111,Materials fee: $80.,"The symbiotic interrelationship of drawing and painting is the primary focus of this full-credit advanced-level course. As an experienced art student, you will spend class time and open studio time exploring a challenging array of visual art exercises utilizing a wide variety of drawing and painting media, including graphite, charcoal, pastel, conté crayon, ink, collage, scratchboard, watercolor, acrylic, and oil paint. You will be given comprehensive instruction in numerous drawing and painting approaches as you investigate still life, the human form, architecture, plein air landscape, and portraiture. In addition, you will receive tailored support for your own unique, thematic investigation. Specialized instruction will be offered in color theory, color, painting techniques, visual art presentation, and individualized portfolio preparation.","Prerequisite: ART 302, ART 303, or permission of instructor through portfolio application process."
ART523.1,Advanced 3D Portfolio,Fall,RAC108,"Materials fee: $75.
This college-level course is for highly motivated juniors and seniors who are seriously interested in the study of three-dimensional art. Through experimentation, revision, critiques, and guidance from the instructor, you will engage in the artistic process and develop a cohesive body of work exploring a theme of your choice. Any number of three-dimensional media and processes may be used, including clay, wire, wood, stone, assemblage, installation, fibers, foam board, cardboard, and digital modeling. Your work will be photographed for use in a portfolio for college application or personal enrichment, and you will be exposed to professional artists and recent graduates whose work relates to yours.",One credit.,"Prerequisites: ART 306, ART 317, or permission of the instructor through portfolio application process."
BIO_REL451.1,Bioethics,Fall,Gilder 106,,,
BIO_REL451.1,Bioethics,Fall,Gilder 106,,,
BIO_REL451.2,Bioethics,Fall,Gilder 106,,,
BIO_REL451.2,Bioethics,Fall,Gilder 106,,,
BIO311.1,Biology,Fall,Gilder 211,"Biology builds your understanding of the molecules and substances important to cell structure and function, expands to genetics and organismal biology, and focuses on evolution and ecology. You will use a variety of approaches to explore and learn the principles and concepts of biology, with emphasis on how biological systems work and, ultimately, how a whole organism depends on cellular processes. You will participate in class discussions, small-group projects, and presentations and will conduct laboratory investigations. For some units of study, you can choose a specific topic to research or design a lab procedure to explore your own question. You will work throughout the semester to develop metacognitive abilities like study skills, research, citation, and note-taking.
If you are a sophomore taking Biology, you have the opportunity to participate in an interdisciplinary travel program. Recent destinations include South Africa, Brazil, and Spain/Morocco. You simultaneously enroll in three courses for the semester: Humanities II: World History, Humanities II: World Religions, and Biology. There is a formal application process, and participation requires additional fees.",One credit.,Prerequisite: A previous high school course in science. Open to sophomores and juniors who have not yet taken biology at the high-school level. Students are strongly encouraged to complete Biology before Chemistry. Placement based on screening process.
BIO311.2,Biology,Spring,Gilder 209,"Biology builds your understanding of the molecules and substances important to cell structure and function, expands to genetics and organismal biology, and focuses on evolution and ecology. You will use a variety of approaches to explore and learn the principles and concepts of biology, with emphasis on how biological systems work and, ultimately, how a whole organism depends on cellular processes. You will participate in class discussions, small-group projects, and presentations and will conduct laboratory investigations. For some units of study, you can choose a specific topic to research or design a lab procedure to explore your own question. You will work throughout the semester to develop metacognitive abilities like study skills, research, citation, and note-taking.
If you are a sophomore taking Biology, you have the opportunity to participate in an interdisciplinary travel program. Recent destinations include South Africa, Brazil, and Spain/Morocco. You simultaneously enroll in three courses for the semester: Humanities II: World History, Humanities II: World Religions, and Biology. There is a formal application process, and participation requires additional fees.",One credit.,Prerequisite: A previous high school course in science. Open to sophomores and juniors who have not yet taken biology at the high-school level. Students are strongly encouraged to complete Biology before Chemistry. Placement based on screening process.
BIO311.3,Biology,Spring,Gilder 209,"Biology builds your understanding of the molecules and substances important to cell structure and function, expands to genetics and organismal biology, and focuses on evolution and ecology. You will use a variety of approaches to explore and learn the principles and concepts of biology, with emphasis on how biological systems work and, ultimately, how a whole organism depends on cellular processes. You will participate in class discussions, small-group projects, and presentations and will conduct laboratory investigations. For some units of study, you can choose a specific topic to research or design a lab procedure to explore your own question. You will work throughout the semester to develop metacognitive abilities like study skills, research, citation, and note-taking.
If you are a sophomore taking Biology, you have the opportunity to participate in an interdisciplinary travel program. Recent destinations include South Africa, Brazil, and Spain/Morocco. You simultaneously enroll in three courses for the semester: Humanities II: World History, Humanities II: World Religions, and Biology. There is a formal application process, and participation requires additional fees.",One credit.,Prerequisite: A previous high school course in science. Open to sophomores and juniors who have not yet taken biology at the high-school level. Students are strongly encouraged to complete Biology before Chemistry. Placement based on screening process.
BIO311SA.1,Biology: South Africa,Spring,Gilder 211,,,
BIO311SA.2,Biology: South Africa,Spring,Gilder 211,,,
BIO321.1,Honors Biology,Fall,Gilder 209,"As an Honors Biology student, you will be expected to go deeper into each topic explored in the introductory level and to fine-tune your skills in laboratory investigations. You will maintain a detailed laboratory notebook and use it to write your lab reports, connecting class concepts to your actual observations.",One credit.,Prerequisite: B+ or better in previous high school science courses. Open to sophomores and juniors who have not yet taken biology at the high-school level. Placement based on screening process.
BIO321.2,Honors Biology,Fall,Gilder 209,"As an Honors Biology student, you will be expected to go deeper into each topic explored in the introductory level and to fine-tune your skills in laboratory investigations. You will maintain a detailed laboratory notebook and use it to write your lab reports, connecting class concepts to your actual observations.",One credit.,Prerequisite: B+ or better in previous high school science courses. Open to sophomores and juniors who have not yet taken biology at the high-school level. Placement based on screening process.
BIO321.3,Honors Biology,Spring,Gilder 209,"As an Honors Biology student, you will be expected to go deeper into each topic explored in the introductory level and to fine-tune your skills in laboratory investigations. You will maintain a detailed laboratory notebook and use it to write your lab reports, connecting class concepts to your actual observations.",One credit.,Prerequisite: B+ or better in previous high school science courses. Open to sophomores and juniors who have not yet taken biology at the high-school level. Placement based on screening process.
BIO321.4,Honors Biology,Spring,Gilder 209,"As an Honors Biology student, you will be expected to go deeper into each topic explored in the introductory level and to fine-tune your skills in laboratory investigations. You will maintain a detailed laboratory notebook and use it to write your lab reports, connecting class concepts to your actual observations.",One credit.,Prerequisite: B+ or better in previous high school science courses. Open to sophomores and juniors who have not yet taken biology at the high-school level. Placement based on screening process.
BIO321.5,Honors Biology,Fall,Gilder 209,"As an Honors Biology student, you will be expected to go deeper into each topic explored in the introductory level and to fine-tune your skills in laboratory investigations. You will maintain a detailed laboratory notebook and use it to write your lab reports, connecting class concepts to your actual observations.",One credit.,Prerequisite: B+ or better in previous high school science courses. Open to sophomores and juniors who have not yet taken biology at the high-school level. Placement based on screening process.
BIO417.1,Human Physiology,Fall,Gilder 211,"You will study human body systems with an emphasis on the relationship between structure, function, and homeostatic regulation. You will conduct laboratory investigations, perform dissections, and design projects to learn about body systems in depth, discovering the connections between them. Final projects are student-designed and explore a system or topic in depth. Expect to teach your peers in this student-centered course.",One credit.,"Prerequisite: BIO 311 or equivalent. Open to juniors, seniors, and PGs."
BIO417.2,Human Physiology,Fall,Gilder 211,"You will study human body systems with an emphasis on the relationship between structure, function, and homeostatic regulation. You will conduct laboratory investigations, perform dissections, and design projects to learn about body systems in depth, discovering the connections between them. Final projects are student-designed and explore a system or topic in depth. Expect to teach your peers in this student-centered course.",One credit.,"Prerequisite: BIO 311 or equivalent. Open to juniors, seniors, and PGs."
BIO531.1,Advanced Biology: Biotechnology,Fall,Gilder 119,"In Biotechnology, you will explore the theory and techniques employed by living systems to build biomolecules and interact with the world, and you will practice some of those methods in the lab. A central theme is the study of DNA and proteins. You will learn laboratory techniques to isolate, quantify, replicate, and manipulate DNA. You will learn about cell culture, expression and purification of proteins, and use of enzymes and other biological reagents. Your class will function as a research group in which each student both works on projects independently and collaborates as part of a team to achieve common learning targets. Emphasis will be placed on research and presentation, both written and oral, and will interweave topics of ethics and social justice.",One credit,"Prerequisite: A- or better in BIO 311, CHE 311, and MAT 311; B+ or better in honors equivalents. Strong reading and writing skills are also required. Open to students who meet the prerequisites or receive departmental approval."
BIO531.2,Advanced Biology: Biotechnology,Spring,Gilder 119,"In Biotechnology, you will explore the theory and techniques employed by living systems to build biomolecules and interact with the world, and you will practice some of those methods in the lab. A central theme is the study of DNA and proteins. You will learn laboratory techniques to isolate, quantify, replicate, and manipulate DNA. You will learn about cell culture, expression and purification of proteins, and use of enzymes and other biological reagents. Your class will function as a research group in which each student both works on projects independently and collaborates as part of a team to achieve common learning targets. Emphasis will be placed on research and presentation, both written and oral, and will interweave topics of ethics and social justice.",One credit,"Prerequisite: A- or better in BIO 311, CHE 311, and MAT 311; B+ or better in honors equivalents. Strong reading and writing skills are also required. Open to students who meet the prerequisites or receive departmental approval."
BIO532.1,Advanced Biology: Field Studies,Fall,Gilder 118,"Field biology is a sub-discipline that focuses on the ecological branch of biology. In this college-level course, you will explore biological organization and function through species, populations, communities, and ecosystems while developing rich scientific skills as you learn what it means to be a scientific researcher. You will also have opportunities to expand your knowledge of other fields of biology, including but not limited to cellular biology, genetics, botany, and animal behavior, to understand ecological relationships more deeply. An overarching theme of this course will be consideration of how life around us is changing and will continue to respond to our changing climate.",One credit.,"Prerequisite: A- or better in BIO 311, CHE 311, and MAT 311; B+ or better in honors equivalents. Strong reading and writing skills are also required. Open to students who meet the prerequisites or receive departmental approval."
CHE311.1,Chemistry,Fall,Gilder 311,"In this laboratory-based course, you will delve into the study of matter and the changes that it undergoes by examining topics such as atomic structure, periodicity, and bonding; names, formulas, and reactions of chemical substances; the mole concept and stoichiometry; thermo-chemistry; aqueous solutions; kinetic theory; and gas behavior. You will develop and hone foundational scientific skills such as formulation of questions/hypotheses, experiment design, data analysis, modeling, and scientific literacy.",One credit.,"Prerequisite: A previous high school course in science. Completion of MAT 311 or equivalents. Biology background is strongly recommended. Open to sophomores, juniors, seniors, and PGs. Placement based on screening process."
CHE311.2,Chemistry,Fall,Gilder 304,"In this laboratory-based course, you will delve into the study of matter and the changes that it undergoes by examining topics such as atomic structure, periodicity, and bonding; names, formulas, and reactions of chemical substances; the mole concept and stoichiometry; thermo-chemistry; aqueous solutions; kinetic theory; and gas behavior. You will develop and hone foundational scientific skills such as formulation of questions/hypotheses, experiment design, data analysis, modeling, and scientific literacy.",One credit.,"Prerequisite: A previous high school course in science. Completion of MAT 311 or equivalents. Biology background is strongly recommended. Open to sophomores, juniors, seniors, and PGs. Placement based on screening process."
CHE311.3,Chemistry,Spring,Gilder 304,"In this laboratory-based course, you will delve into the study of matter and the changes that it undergoes by examining topics such as atomic structure, periodicity, and bonding; names, formulas, and reactions of chemical substances; the mole concept and stoichiometry; thermo-chemistry; aqueous solutions; kinetic theory; and gas behavior. You will develop and hone foundational scientific skills such as formulation of questions/hypotheses, experiment design, data analysis, modeling, and scientific literacy.",One credit.,"Prerequisite: A previous high school course in science. Completion of MAT 311 or equivalents. Biology background is strongly recommended. Open to sophomores, juniors, seniors, and PGs. Placement based on screening process."
CHE311.4,Chemistry,Spring,Gilder 304,"In this laboratory-based course, you will delve into the study of matter and the changes that it undergoes by examining topics such as atomic structure, periodicity, and bonding; names, formulas, and reactions of chemical substances; the mole concept and stoichiometry; thermo-chemistry; aqueous solutions; kinetic theory; and gas behavior. You will develop and hone foundational scientific skills such as formulation of questions/hypotheses, experiment design, data analysis, modeling, and scientific literacy.",One credit.,"Prerequisite: A previous high school course in science. Completion of MAT 311 or equivalents. Biology background is strongly recommended. Open to sophomores, juniors, seniors, and PGs. Placement based on screening process."
CHE321.1,Honors Chemistry,Fall,Gilder 306,"In this fast-paced, quantitatively intensive introductory course, you will tackle a comprehensive list of topics in chemistry, including solutions chemistry, kinetics, equilibrium, and acid-base chemistry, in addition to the topics listed in the description for CHE 311. You will solve complex practical problems to refine skills such as theory generation, mathematical modeling and problem-solving, and experimental design with quantitative equipment.",One credit.,"Prerequisites: B+ or better in all previous high school science courses. A- or better in MAT311 or B+ or better MAT 321, or equivalents. Biology background is strongly recommended. Open to sophomores, juniors, seniors, and PGs. Placement based on screening process."
CHE321.2,Honors Chemistry,Fall,Gilder 306,"In this fast-paced, quantitatively intensive introductory course, you will tackle a comprehensive list of topics in chemistry, including solutions chemistry, kinetics, equilibrium, and acid-base chemistry, in addition to the topics listed in the description for CHE 311. You will solve complex practical problems to refine skills such as theory generation, mathematical modeling and problem-solving, and experimental design with quantitative equipment.",One credit.,"Prerequisites: B+ or better in all previous high school science courses. A- or better in MAT311 or B+ or better MAT 321, or equivalents. Biology background is strongly recommended. Open to sophomores, juniors, seniors, and PGs. Placement based on screening process."
CHE321.3,Honors Chemistry,Fall,Gilder 311,"In this fast-paced, quantitatively intensive introductory course, you will tackle a comprehensive list of topics in chemistry, including solutions chemistry, kinetics, equilibrium, and acid-base chemistry, in addition to the topics listed in the description for CHE 311. You will solve complex practical problems to refine skills such as theory generation, mathematical modeling and problem-solving, and experimental design with quantitative equipment.",One credit.,"Prerequisites: B+ or better in all previous high school science courses. A- or better in MAT311 or B+ or better MAT 321, or equivalents. Biology background is strongly recommended. Open to sophomores, juniors, seniors, and PGs. Placement based on screening process."
CHE321.4,Honors Chemistry,Spring,Gilder 311,"In this fast-paced, quantitatively intensive introductory course, you will tackle a comprehensive list of topics in chemistry, including solutions chemistry, kinetics, equilibrium, and acid-base chemistry, in addition to the topics listed in the description for CHE 311. You will solve complex practical problems to refine skills such as theory generation, mathematical modeling and problem-solving, and experimental design with quantitative equipment.",One credit.,"Prerequisites: B+ or better in all previous high school science courses. A- or better in MAT311 or B+ or better MAT 321, or equivalents. Biology background is strongly recommended. Open to sophomores, juniors, seniors, and PGs. Placement based on screening process."
CHE415.1,Chemistry Research Methods,Fall,Gilder 311,,"In this half-credit course, you will extend your exposure to laboratory work in chemistry beyond first-year chemistry and prepare for advanced-level coursework in chemistry. You will learn how to design experiments using specified equipment and probes, write robust lab reports, and conduct authentic practical inquiries. You will work on quantitative experiments (titrations, mass analysis, etc.) as well as qualitative experiments (chromatography, emission spectrum, etc.).",Prerequisites: MAT 311 and CHE 311 or equivalent. Students who have taken CHE 321 are not eligible.
CHE417.1,Forensic Science,Fall,Gilder 304,,,
CHE417.2,Forensic Science,Spring,Gilder 304,,,
